lemma,total_count,unique_comments,words
consultante,1,1,consultante
consultants,16,12,consultants
consultantsamerica,1,1,consultantsamerica
consultarme,1,1,consultarme
consultaría,1,1,consultaría
consultatant,1,1,consultatant
consultate,2,2,consultate
consultation,56,47,consultation | consultations
consulte,2,2,consulte
consulting,41,27,consulting
consulting(as,1,1,consulting(as
consulting.so,1,1,consulting.so
consulting177423142309810,1,1,consulting177423142309810
consulting205,1,1,consulting205
consume,5,5,consume | consumed
consumenr,1,1,consumenr
consumer,4018,1731,consumer | consumers
consumer'sa,1,1,consumer'sa
consumer].consumer,1,1,consumer].consumer
consumeraffairs.com.try,1,1,consumeraffairs.com.trying
consumers,1,1,consumers
consumersbottomline,1,1,consumersbottomline
consumerstat,1,1,consumerstated
consumert,1,1,consumert
consumidor,2,2,consumidor
consummation,1,1,consummation
consummeraffairs.com,1,1,consummeraffairs.com
consusumer,1,1,consusumers
conszumer,1,1,conszumer
cont,2,1,cont
contaban,1,1,contaban
contabilidad,1,1,contabilidad
contac,3,3,contac | contaced
contack,1,1,contack
contact,1673,1172,contact | contacted | contacting | contacts
contact(b)(6,1,1,contact(b)(6
contact@fianceeimmigrationlawyer.com,1,1,contact@fianceeimmigrationlawyer.com
contacta,1,1,contacta
contactamer,1,1,contactamer
contactamos,1,1,contactamos
contactar,3,3,contactar
contactaria,1,1,contactaria
contactarlo,3,3,contactarlo
contactaron,5,4,contactaron
contacte,3,3,contacte
contacted,2,2,contacted
contactedby,2,2,contactedby
contactenme,1,1,contactenme
contacter,2,2,contacter
contacting,5,5,contacting
contactme,1,1,contactme
contacto,16,14,contacto | contactos
contacton,1,1,contactons
contacts,2,2,contacts
contacté,1,1,contacté
contaed,1,1,contaed
contain,55,48,contain | contained | containing | contains
container,1,1,container
contamos,1,1,contamos
contaro,1,1,contaro
contatatara,1,1,contatatara
contattato,1,1,contattato
conte,2,2,conte | contes
contec,1,1,contec
contect,3,3,contect | contected
contemplate,3,3,contemplated | contemplating
contempt,3,3,contempt
contenant,1,1,contenant
content,31,29,content | contents
contest,3,3,contest | contesting
contesta,5,5,contesta
contestaba,3,3,contestaba
contestaban,2,2,contestaban
contestacion,2,2,contestacion
contestada,1,1,contestada
contestan,1,1,contestan
contestar,3,3,contestar
contestaron,2,2,contestaron
conteste,1,1,conteste
contesto,3,3,contesto
context,2,2,context
contigency,1,1,contigency
continent,12,2,continent
continous,2,2,continous
continously,1,1,continously
continuacion,1,1,continuacion
continually,3,3,continually
continuar,4,3,continuar
continuara,1,1,continuara
continuation,2,2,continuation
continue,332,299,continue | continued | continueing | continues | continuing
continued,1,1,continued
continuity,1,1,continuity
continuosly,1,1,continuosly
continuous,9,9,continuous
continuously,18,15,continuously
conto,2,2,conto
contra,6,6,contra
contrack,1,1,contrack
contract,249,169,contract | contracted | contracting | contracts
contract!!product_or_service,1,1,contract!!product_or_service
contract(s,1,1,contract(s
contractdocumentation,1,1,contractdocumentation
contracter,1,1,contracter
contracto,1,1,contracto
contractor,11,8,contractor | contractors
contractual,5,5,contractual
contradict,1,1,contradicted
contradictoria,1,1,contradictorias
contrario,1,1,contrario
contrary,7,7,contrary
contrast,1,1,contrast
contratamos,1,1,contratamos
contrate,6,4,contrate
contrato,23,8,contrato | contratos
contratto,1,1,contratto
contratual,1,1,contratual
contre,1,1,contre
contreras,1,1,contreras
contribute,2,2,contributed | contributing
contribution,1,1,contribution
control,56,52,control | controling | controlled | controlling
controlnumber,1,1,controlnumber
contry,2,2,contry
contumely,1,1,contumely
conusmer,3,3,conusmer | conusmers
conutry,1,1,conutry
convencerme,1,1,convencerme
convencieron,2,2,convencieron
convencional,1,1,convencional
convenience,14,13,convenience
convenient,8,8,convenient
convention,5,3,convention
converdacion,1,1,converdacion
conversat,1,1,conversating
conversation,129,113,conversation | conversations
conversaton,1,1,conversatons
converse,2,2,converse | conversing
conversion,3,3,conversion
converstaion,1,1,converstaion
convert,5,4,convert | converted
convetion,1,1,convetion
convey,4,4,convey | conveyed
conveyance,2,2,conveyance
convic,1,1,conviced
convict,5,5,convict | convicted
conviction,5,5,conviction | convictions
convince,48,46,convince | convinced | convincing
convinced,5,5,convinced
convincing,7,7,convincing
convincing.2,1,1,convincing.2
convincingly,1,1,convincingly
convocation,1,1,convocations
convoquer,1,1,convoquer
conyact,1,1,conyact
cook,4,4,cook | cooked
cool,1,1,cool
coolsprings,1,1,coolsprings
coon,1,1,coon
cooper,12,8,cooper
cooperate,19,18,cooperate | cooperated | cooperating
cooperation,9,8,cooperation
cooperationregardsleon,1,1,cooperationregardsleon
cooperative,3,3,cooperative
coopers,1,1,coopers
coordinate,3,3,coordinates
coordination,1,1,coordination
coordinator,3,3,coordinator
coordonnate,1,1,coordonnates
coordonées,1,1,coordonées
coorporate,1,1,coorporate
cop,83,51,cop | cops
"cop"",will",1,1,"cop"",will"
copany,2,2,copany
copenhagen,1,1,copenhagen
copia,12,10,copia | copias
copias,1,1,copias
copiaz,1,1,copiaz
copie,3,2,copie
copies,1,1,copies
coplan,1,1,coplan
copnsumer,1,1,copnsumer
coporate,1,1,coporate
cops,4,4,cops
copy,404,303,copied | copies | copy
copycat,1,1,copycat
copye,1,1,copyes
copygood,1,1,copygood
copypaste,1,1,copypaste
copyright,5,5,copyright
copyscan,21,21,copyscan
coqu,1,1,coqu
coquitlam,1,1,coquitlam
corbin,1,1,corbin
cordero,1,1,cordero
cordially,2,2,cordially
cordinator,1,1,cordinator
core,3,2,core
corect,1,1,corect
corecto,1,1,corecto
corekt,1,1,corekt
corespondance,1,1,corespondance
cork,1,1,cork
corley,1,1,corley
cornejo,1,1,cornejo
cornell,1,1,cornell
corner,7,7,corner
corny,1,1,corny
corolla,1,1,corolla
corp,7,5,corp
corp.,2,2,corp.
corp296666303696539?sk,1,1,corp296666303696539?sk
corporacion,3,2,corporacion
corporate,15,8,corporate
corporation,28,23,corporation
corps,1,1,corps
corrcetly,1,1,corrcetly
corrección,1,1,corrección
correclty,1,1,correclty
correct,161,141,correct | corrected | correcting
correcta,1,1,correcta
correction,7,7,correction | corrections
corrective,1,1,corrective
correctly,47,41,correctly
correcto,1,1,correcto
correctthis,1,1,correctthis
correlación,1,1,correlación
correlation,2,2,correlation
correo,43,27,correo | correos
correoyour,1,1,correoyour
correption,1,1,correption
correspond,15,13,correspond | corresponded | corresponding
corresponda,1,1,corresponda
correspondance,2,2,correspondance
corresponde,1,1,corresponde
correspondence,45,40,correspondence | correspondences
correspondence:(a)your,1,1,correspondence:(a)your
correspondencia,1,1,correspondencia
correspondent,3,3,correspondent
correspondiente,3,3,correspondiente | correspondientes
corresponding,1,1,corresponding
corresponsal)(paso,1,1,corresponsal)(paso
corroboren,1,1,corroboren
corrode,1,1,corrode
corrupt,6,5,corrupt
corruption,2,2,corruption
corría,1,1,corría
corte,10,5,corte
cortesía,1,1,cortesía
corto,1,1,corto
cosa,4,2,cosa
cosas,3,3,cosas
cosign,2,2,cosigned | cosigning
cosmetic,1,1,cosmetics
cosncuemr,1,1,cosncuemr
cosnumer,6,5,cosnumer
cost,233,187,cost | costed | costes | costing | costs
cost$.any,1,1,cost$.any
"cost$1,240",1,1,"cost$1,240"
costa,3,3,costa
costilla,1,1,costilla
costly,6,5,costly
costo,2,2,costo
costos,1,1,costos
costoso,1,1,costoso
costs)by,1,1,costs)by
costume,1,1,costumes
costumer,11,11,costumer | costumers
cosumer,5,5,cosumer
cotch,1,1,cotch
cote,1,1,cote
cotizen,1,1,cotizen
coubty,1,1,coubty
coudnt,1,1,coudnt
coughlin,1,1,coughlin
could,1158,799,could
could'nt,2,2,could'nt
couldn,1,1,couldn
couldn't,1,1,couldn't
couldn?t,1,1,couldn?t
couldnâ??t,2,1,couldnâ??t
couln't,1,1,couln't
coulnt,1,1,coulnt
councellor,1,1,councellor
council,9,7,council
counrty,1,1,counrty
counsel,33,30,counsel | counsels
counselar,1,1,counselar
counseling,5,4,counseling
counsellor,7,5,counsellor
counselor,8,8,counselor
counsuate,1,1,counsuate
counsulate,2,1,counsulate
count,27,21,count | counted | counts
counter,3,3,counter | countered
counteract,1,1,counteracting
counterfeit,11,5,counterfeit | counterfeits
counterpart,1,1,counterparts
counties,1,1,counties
countless,13,12,countless
country,835,526,countries | country | countrys
country&quot;they,1,1,country&quot;they
country-,1,1,country-
country.&quot,1,1,country.&quot
country.3,1,1,country.3
country.98,1,1,country.98
country.a,1,1,country.a
countrys,1,1,countrys
county,104,46,county
county(ahora,1,1,county(ahora
"county(martin),pero",1,1,"county(martin),pero"
countya,1,1,countya
counulate,1,1,counulate
counytry,1,1,counytry
coup,1,1,coup
couple,73,65,couple | couples
courage,3,2,courage
courageously,1,1,courageously
courier,11,11,courier
courriel,5,3,courriel | courriels
course,92,77,course | courses
court,301,187,court | courts
court.b(6,1,1,court.b(6
courtdate,1,1,courtdate
courteous,2,2,courteous
courtesy,20,19,courtesy
courthouse,5,5,courthouse
courtney,1,1,courtney
courtroom,3,3,courtroom | courtrooms
courts,4,4,courts
cous,1,1,coused
cousin,217,123,cousin | cousins
cousin)must,1,1,cousin)must
cousine,2,1,cousine
cousinf,1,1,cousinfs
cousing,1,1,cousing
coute,1,1,coute
covarmant,1,1,covarmant
cover,44,42,cover | covered | covering | covers
coverage,3,3,coverage
coverall,7,2,coverall
coverall.com,1,1,coverall.com
coverdale,1,1,coverdale
covert,1,1,covert
covincing,1,1,covincing
covp,1,1,covp
cow,1,1,cows
coward,1,1,cowards
coworker,3,3,coworker | coworkers
cox,4,4,cox
coy,1,1,coy
coyote,3,2,coyote
coz,10,8,coz
cpa,2,2,cpa
cpa.asoto,1,1,cpa.asoto
cpb,1,1,cpb
cpc&utm_term,1,1,cpc&utm_term
cpd,10,1,cpd
cpmplaint,1,1,cpmplaint
cpt,2,1,cpt
cra,44,30,cra | cras
cra***the,1,1,cra***the
cra.complainant,1,1,cra.complainant
crackle,1,1,crackling
cracks,1,1,cracks
crad,1,1,crad
crafts,1,1,crafts
craig,9,7,craig
craiglist,1,1,craiglist
craigs,4,3,craigs
craigslist,6,5,craigslist
craigslist.com,2,2,craigslist.com
craigslist.org,2,2,craigslist.org
crank,2,1,crank
crap,1,1,crap
crard,1,1,crard
cras,2,2,cras
crash,3,3,crash | crashed | crashing
crassly,1,1,crassly
crazy,5,5,crazy
crc,4,3,crc
cream,1,1,creams
creat,1,1,creat
create,116,92,create | created | creates | creating
created.i,1,1,created.i
creation,3,3,creation
creative,5,1,creative
credencial,1,1,credencial
credentail,1,1,credentails
credential,13,11,credential | credentials
credentialed,1,1,credentialed
credibility,9,9,credibility
credible,11,9,credible
credict,1,1,credict
credit,1004,628,credit | credited
credit$59,1,1,credit$59
creditcardnummer,1,1,creditcardnummer
creditdebit,1,1,creditdebit
credito,6,6,credito
credito.y,1,1,credito.y
creditor,2,2,creditor
creditunion,1,1,creditunion
credot,1,1,credot
credyt,1,1,credyt
creek,4,3,creek | creeks
creen,1,1,creen
creer,3,3,creer
creeran,1,1,creeran
crei,1,1,crei
creidet,1,1,creidet
creidt,1,1,creidt
creig,1,1,creigs
cremate,1,1,cremated
cremation,1,1,cremation
creo,6,6,creo
cretieria,1,1,cretieria
crew,2,2,crew
creímo,1,1,creímos
creó,1,1,creó
crime,47,46,crime | crimes
crimestopper,1,1,crimestoppers
criminal,131,102,criminal | criminales | criminals
criminality,2,1,criminality
criptic,1,1,criptic
cris,1,1,cris
cristina,1,1,cristina
cristo,1,1,cristo
criterion,7,4,criteria
critical,7,7,critical
crm@ausfis.org,1,1,crm@ausfis.org
crm@usafis.org,1,1,crm@usafis.org
croatia,1,1,croatia
crocker,1,1,crocker
croix,2,1,croix
crook,10,9,crook | crooks
crooked,5,3,crooked
crop,1,1,cropping
crospondence,2,2,crospondence
cross,22,18,cross | crossed | crossing
crosscroft,1,1,crosscroft
crossed,1,1,crossed
crossing,1,1,crossing
crotch,1,1,crotch
crowd,1,1,crowd
crown,1,1,crown
cruc,1,1,cruces
cruces,2,2,cruces
crucial,2,2,crucial
cruel,2,2,cruel
cruelest,1,1,cruelest
cruise,4,3,cruise
cruz,2,2,cruz
cruzan,2,2,cruzan
cry,10,7,cry | crying
crédit,9,4,crédit
crédito,4,4,crédito | créditos
cs,1,1,cs
cs@immigrationdirect.com,2,2,cs@immigrationdirect.com
cs@us,1,1,cs@us
cs@us-immigation.com,1,1,cs@us-immigation.com
cs@us-immigration.com,16,10,cs@us-immigration.com
cs@us-immigration.com.im,1,1,cs@us-immigration.com.im
cs@us-immigration.com>subject,2,1,cs@us-immigration.com>subject
cs@us-immigration.comsent,1,1,cs@us-immigration.comsent
cs@us-immigration.comsubject,1,1,cs@us-immigration.comsubject
cs@us-immigration.comto,1,1,cs@us-immigration.comto
cs@us-immigration.comwhat,1,1,cs@us-immigration.comwhat
cscis,1,1,cscis
csic,22,6,csic
csic?s,1,1,csic?s
csip,3,1,csip
csipcba,3,1,csipcba
csll,1,1,cslling
csr,1,1,csr
csr@natively.com,1,1,csr@natively.com
csr@usafis.org,1,1,csr@usafis.org
css,2,2,css
cssnewman,3,1,cssnewman
cst,6,5,cst
ct,8,7,ct
ctci,4,1,ctci
cthey,1,1,cthey
cty,1,1,cty
cual,31,23,cual | cuales
cuale,3,3,cuales
cualqui,3,3,cualquier
cualquier,4,3,cualquier
cuando,42,27,cuando
cuanto,2,2,cuanto
cuatro,1,1,cuatro
cuba,14,13,cuba
cubamex,1,1,cubamex
cuban,4,3,cuban
cubano,1,1,cubano
cubans,2,2,cubans
cueja,1,1,cueja
cuenta,14,14,cuenta
cuentas,2,2,cuentas
cuervo,1,1,cuervo
cuestión,2,1,cuestión
cuff,3,3,cuff
cuidad,1,1,cuidad
cuidadosamente,1,1,cuidadosamente
culminate,2,2,culminate
culpa,2,2,culpa
culprit,3,3,culprit | culprits
cultural,2,2,cultural
culture,5,5,culture
cultured,2,2,cultured
culver,1,1,culver
cumiskey,3,1,cumiskey
cummings,4,2,cummings
cumpla,1,1,cumpla
cumple,1,1,cumple
cumplia,1,1,cumplia
cumplido,2,2,cumplido | cumplidos
cumplio,1,1,cumplio
cumplir,4,3,cumplir
cunsular,1,1,cunsular
cupertino,1,1,cupertino
cupo,1,1,cupo
cupon,1,1,cupones
cupone,1,1,cupones
cur,1,1,curs
curb,1,1,curbing
curbello,2,1,curbello
curiosity,1,1,curiosity
curious,3,3,curious
currancy,1,1,currancy
curren,1,1,curren
currency,110,99,currency
currency.)find,2,2,currency.)find
current,66,60,current
current_legal_name,1,1,current_legal_name
currentgreen,1,1,currentgreen
currently,210,202,currently
curse,5,5,curse | cursed | cursing
cursive,1,1,cursive
curso,7,3,curso
cursory,1,1,cursory
custedy,1,1,custedy
custmerservice,1,1,custmerservice
custody,26,24,custody
custom,18,14,custom | customs
customa,1,1,customa
customdy,1,1,customdy
customer,418,296,customer | customers
customer-service@usafis-mail.com'subject,1,1,customer-service@usafis-mail.com'subject
customer_service@prijbs.comphone,1,1,customer_service@prijbs.comphone
customercare,1,1,customercare
customerservice@usadiversitylottery.com.it,1,1,customerservice@usadiversitylottery.com.it
customers’,1,1,customers’
customize,1,1,customized
customs,18,18,customs
custumer,1,1,custumer
cut,64,55,cut | cuts | cutting
cute,1,1,cute
cutom,1,1,cutomer
cutomer,2,1,cutomers
cutpaste,1,1,cutpaste
cuz,1,1,cuz
cv,3,3,cv
cvg,1,1,cvg
cvjeticanin,2,1,cvjeticanin
cvs,38,34,cvs
"cvs),security",1,1,"cvs),security"
cvs/7,1,1,cvs/7
cvs/711.it,1,1,cvs/711.it
cvv,2,2,cvv
cwc,1,1,cwc
cwo,2,1,cwo
cyber,4,2,cyber
cynthia,16,4,cynthia
cypriot,1,1,cypriot
cyprus,8,5,cyprus
czech,2,2,czech
cárcel,1,1,cárcel
cédant,1,1,cédant
código,3,1,código
cónyuge,1,1,cónyuge
d,22,20,d | ding
d&#233;bito,1,1,d&#233;bito
d&#233;bito)a,1,1,d&#233;bito)a
d&#237;a,2,2,d&#237;a
d&#252;s&#252;nd&#252;m,1,1,d&#252;s&#252;nd&#252;m
d'amerique,1,1,d'amerique
d'autr,3,3,d'autres
d'avance,1,1,d'avance
d'avoir,1,1,d'avoir
d'effecteur,1,1,d'effecteur
d'envoyer,1,1,d'envoyer
d'escroc,1,1,d'escrocs
d'héritage,2,2,d'héritage
d'identité,1,1,d'identité
d'info,2,1,d'info
d'un,5,3,d'un
d'une,2,2,d'une
d.,13,12,d.
d.a,1,1,d.a
d.a.w.,3,1,d.a.w.
d.albert,3,3,d.albert
d.b.a,1,1,d.b.a
d.bloom,1,1,d.bloom
d.c,2,2,d.c
d.c.,13,10,d.c.
d.c.20520,1,1,d.c.20520
d.c.his,1,1,d.c.his
d.n.a,1,1,d.n.a
d.o.b,1,1,d.o.b
d.v.,2,1,d.v.
d?un,2,1,d?un
da,11,10,da
da&#241;&#243,1,1,da&#241;&#243
daas,2,2,daas
daban,3,2,daban
daca,9,6,daca
dad,26,16,dad | dads
daddy,1,1,daddy
dade,2,1,dade
dadier,1,1,dadier
dado,8,7,dado
dads,1,1,dads
dad´s,1,1,dad´s
daer,2,2,daer
daft,2,1,daft
dagoberto,1,1,dagoberto
dailleur,1,1,dailleur
daily,13,12,daily
daily247365international,1,1,daily247365international
dakota,3,2,dakota
dalgamouni,4,1,dalgamouni
dalla,1,1,dalla
dallas,13,8,dallas
dallasphone,1,1,dallasphone
damage,49,37,damage | damaged | damages | damaging
damaged,5,1,damaged
damaging,2,2,damaging
damascus,5,3,damascus
dame,3,3,dame
damn,4,3,damn | damning
dan,6,6,dan | dans
dana,1,1,dana
danay,1,1,danay
dance,1,1,dance
dando,4,4,dando
dandole,1,1,dandole
danger,7,7,danger | dangers
dangerous,9,8,dangerous
dania,1,1,dania
daniel,16,10,daniel
daniel1,1,1,daniel1
daniil,1,1,daniil
danny,1,1,danny
danzig,1,1,danzig
dao,4,1,dao
dapa,8,3,dapa
dapartment,1,1,dapartment
dar,6,6,dar
dare,3,3,dare | dares
daria,1,1,daria
dark,2,2,dark
darle,1,1,darle
darling,4,2,darling
darme,5,3,darme
darren,1,1,darren
darselo,1,1,darselos
daryl,1,1,daryl
das,1,1,das
dashboard.do,1,1,dashboard.do
data,15,14,data | datas
data.2,1,1,data.2
database,33,27,database | databases
database.(process,1,1,database.(processing
date,725,558,date | dated | dates | dating
"date(b)(6),she",1,1,"date(b)(6),she"
date.6,1,1,date.6
date:03/05/2014,1,1,date:03/05/2014
date:11/13/13,1,1,date:11/13/13
dated,2,2,dated
dates)in,1,1,dates)in
datesinstalment,1,1,datesinstalment
datetue,1,1,datetue
dating,1,1,dating
dating.singaporeexpats.com,2,2,dating.singaporeexpats.com
dato,8,6,dato | datos
datos,3,3,datos
datta,1,1,datta
datte,1,1,dattes
datum,150,89,data | datum
daughter,174,114,daughter | daughters
daughter(b)(6,1,1,daughter(b)(6
daughter.<br,1,1,daughter.<br
daugther,3,2,daugther
daunting,1,1,daunting
dav,3,1,daved
davenport,2,1,davenport
david,71,45,david
davie,1,1,davie
davis,6,6,davis
dawa.lhamo974@gmail.com,1,1,dawa.lhamo974@gmail.com
dawn,2,2,dawn | dawned
day,778,567,day | days
day(9/25,1,1,day(9/25
day(january,1,1,day(january
day.'when,1,1,day.'when
day8/14/12-,1,1,day8/14/12-
dayhe,1,1,dayhe
daylight,1,1,daylight
days$,1,1,days$
days--,1,1,days--
days.&quot,1,1,days.&quot
days.27,1,1,days.27
days.<br,1,1,days.<br
days.now,1,1,days.now
dayscancellation,1,1,dayscancellation
daysmonthly,1,1,daysmonthly
daños,1,1,daños
dba,4,4,dba
dbab(6,2,2,dbab(6
dbarrio,2,2,dbarrios
dc,70,57,dc
dc-,1,1,dc-
dc.i,1,1,dc.i
dcf,1,1,dcfs
dcrase,2,2,dcrase
dd,2,1,dd
ddmmyyyy,1,1,ddmmyyyy
dds,1,1,dds
de,1072,153,de
"de),qc",1,1,"de),qc"
deactiv,1,1,deactived
deactivate,2,2,deactivate | deactivated
dead,7,7,dead
deadline,24,21,deadline | deadlines
deadline(30thaugust2011)for,1,1,deadline(30thaugust2011)for
deadlock,1,1,deadlock
deaf,3,3,deaf
deal,116,103,deal | dealing | deals | dealt
deal!!!!<br,1,1,deal!!!!<br
dealer,2,2,dealer | dealers
dealership,2,1,dealership
dealet,1,1,dealeted
dealing,5,5,dealings
dean,1,1,dean
deanne,1,1,deanne
dear,240,229,dear | dears
dear(b)(6,21,21,dear(b)(6
dear(b)(6)it,1,1,dear(b)(6)it
dearb(6,7,7,dearb(6
"dearb(6),we",1,1,"dearb(6),we"
dearb(6)you,1,1,dearb(6)you
dearim,1,1,dearim
deatail,1,1,deatails
death,16,14,death
deb,1,1,deb
debe,6,3,debe
deben,1,1,deben
deberia,3,3,deberia
deberá,1,1,deberá
debería,3,1,debería
debet,1,1,debet
debia,7,6,debia
debiamo,1,1,debiamos
debian,1,1,debian
debido,2,2,debido
debilidad,1,1,debilidad
debit,120,97,debit | debited | debits
debitcard,1,1,debitcard
debito,1,1,debito
debitt,1,1,debitted
debo,1,1,debo
deborah,7,3,deborah
debt,20,17,debt | debts
debía,1,1,debía
debíamo,1,1,debíamos
debían,1,1,debían
dec,37,23,dec
dec.1st,1,1,dec.1st
dec2,1,1,dec2
decade,7,5,decade | decades
decades+decade,1,1,decades+decades
decaration,1,1,decaration
decease,2,2,decease | deceased
deceased,7,7,deceased
deceif,1,1,deceives
deceit,3,3,deceit
deceitful,6,5,deceitful
deceitfully,2,2,deceitfully
deceive,84,67,deceive | deceived | deceives | deceiving
deceived,3,2,deceived
deceivenot,1,1,deceivenot
deceiving,6,6,deceiving
deceivingly,1,1,deceivingly
december,105,87,december
decency,1,1,decency
decent,3,3,decent
deceo,1,1,deceo
decep,1,1,decep
decepcionada,1,1,decepcionada
deception,19,17,deception | deceptions
deception.out,1,1,deception.out
deceptionthere,1,1,deceptionthere
deceptive,66,56,deceptive
deceptively,5,5,deceptively
deci,1,1,decied
decia,7,6,decia
decian,1,1,decian
decide,268,237,decide | decided | deciding
decidedto,1,1,decidedto
decidi,1,1,decidi
decidido,1,1,decidido
decidimos,1,1,decidimos
decidio,1,1,decidio
decidió,1,1,decidió
decidí,1,1,decidí
decietful,1,1,decietful
deciev,2,2,decieved
decieving,1,1,decieving
decifer,1,1,decifer
decipher,1,1,decipher
decir,9,7,decir
decirle,1,1,decirle
decirlo,1,1,decirlo
decirnos,1,1,decirnos
decision,36,30,decision | decisions
decisions.they,1,1,decisions.they
deck,2,1,deck
declaracione,1,1,declaraciones
declaración,1,1,declaración
declarado,1,1,declarado
declarar,1,1,declarar
declaration,6,6,declaration
declare,12,12,declare | declared | declaring
decline,36,31,decline | declined
declined,2,2,declined
declino,1,1,declino
decmber,1,1,decmber
decode,1,1,decode
decoy,1,1,decoy
decrease,1,1,decreased
decree,3,3,decree
decía,2,2,decía
decían,1,1,decían
dedica,2,2,dedica
dedicate,2,2,dedicated
dedicated,2,2,dedicated
deduciton,1,1,deduciton
deduct,27,21,deduct | deducted | deducting
deductible,1,1,deductible
deduction,5,5,deductions
deduction.and,1,1,deduction.and
deed,1,1,deed
deem,5,5,deem | deemed
deep,2,2,deep
deeper,1,1,deeper
deeply,4,3,deeply
deer,1,1,deer
deeven,1,1,deeven
defamation,3,3,defamation
defame,1,1,defaming
default,4,4,default | defaulted
defend,4,4,defend | defended
defendant,2,2,defendants
defendants,1,1,defendants
defender,5,5,defender | defenders
defense,17,9,defense | defenses
defensive,6,6,defensive
defer,1,1,defer
deferant,1,1,deferant
deferent,2,2,deferent
deferred,16,11,deferred
defferment,1,1,defferment
deficiency,5,4,deficiencies | deficiency
defillo,7,2,defillo
defillo.b(6)stat,1,1,defillo.b(6)stated
definicion,1,1,definiciones
definite,2,2,definite
definitelt,1,1,definitelt
definitely,31,28,definitely
definition,6,5,definition
definitiva,2,1,definitiva
definitivo,2,1,definitivo
defnitely,1,1,defnitely
defraud,62,55,defraud | defrauded | defrauding | defrauds
defraudado,1,1,defraudado
defraudadore,1,1,defraudadores
defraudando,1,1,defraudando
defrauded!i,1,1,defrauded!i
defrauder,4,2,defrauder
defunct,1,1,defunct
degrade,2,2,degrade | degraded
degree,28,23,degree | degrees
dejaba,1,1,dejaba
dejaban,1,1,dejaban
dejado,1,1,dejado
dejandole,1,1,dejandole
dejaria,1,1,dejaria
dejaron,1,1,dejaron
deje,2,2,deje
dejected,1,1,dejected
dejo,5,5,dejo
del,141,64,del
del8iver,1,1,del8iver
dela,1,1,dela
delabogado,1,1,delabogado
delano,1,1,delano
delante,1,1,delante
delavari,2,1,delavari
delaware,3,2,delaware
delay,94,82,delay | delayed | delaying | delays
delaying,1,1,delaying
delays.&quot,1,1,delays.&quot
delaywe,1,1,delaywe
delegation,1,1,delegation
delete,113,81,delete | deleted | deleting
deletion,9,9,deletion | deletions
delgado,7,2,delgado
delhi,47,37,delhi
delhi-,1,1,delhi-
delhi-110001,1,1,delhi-110001
delhi-110062,1,1,delhi-110062
delhiamount,1,1,delhiamount
delhiindia,1,1,delhiindia
delhiwho,1,1,delhiwho
deli,1,1,deli
delia,3,2,delia
deliberate,3,3,deliberate
deliberately,17,14,deliberately
delicate,5,5,delicate
delievery,1,1,delievery
delinquent,3,3,delinquent
deliver,61,51,deliver | delivered | delivering | delivers
deliverance,1,1,deliverance
deliverd,1,1,deliverd
deliveringthe,1,1,deliveringthe
delivery,44,40,delivery
dell,6,4,dell
della,2,2,della
delsp,1,1,delsp
delta,7,4,delta
delver,1,1,delver
demand,162,137,demand | demanded | demanding | demands
demanda,3,3,demanda
demandais,1,1,demandais
demandait,2,1,demandait
demandandole,1,1,demandandole
demandant,1,1,demandant
demandas,1,1,demandas
demande,2,1,demande
demanded,1,1,demanded
demander,2,2,demander
demandé,1,1,demandé
demeanor,2,2,demeanor
dementia,1,1,dementia
demin,1,1,demining
democracy,1,1,democracy
democrat,1,1,democrat
democratic,2,1,democratic
demographic,1,1,demographics
demonstrate,6,5,demonstrate | demonstrates
demostrado,1,1,demostrado
demott,1,1,demott
demuestre,1,1,demuestre
demás,1,1,demás
denegado,3,3,denegado | denegados
denial,23,18,denial | denials
denied,13,8,denied
denied!]-you,1,1,denied!]-you
denied.(b)(6,1,1,denied.(b)(6
denise,1,1,denise
denmark,4,4,denmark
dennis,1,1,dennis
denomination,2,2,denomination | denominations
denote,1,1,denoted
denounce,1,1,denouncing
dense,3,3,dense
dentist,1,1,dentist
dentro,6,4,dentro
denuncia,5,4,denuncia
denunciar,1,1,denunciar
denunciaría,1,1,denunciaría
denver,1,1,denver
deny,196,152,denied | denies | deny | denying
dep,2,1,dep
deparment,1,1,deparment
depart,9,9,depart | departing
departamen,1,1,departamen
departament,1,1,departament
departamento,13,11,departamento
departement,3,3,departement
departmant,1,1,departmant
departme,1,1,departme
departmen,1,1,departmen
department,1101,595,department | departments
department(my,1,1,department(my
department.b(6)co,1,1,department.b(6)co
department.when,1,1,department.when
department.wipro,1,1,department.wipro
department10,1,1,department10
departmental,1,1,departmental
departmenton,1,1,departmenton
departmentplease,1,1,departmentplease
departments,1,1,departments
department¿s,1,1,department¿s
departtamento,1,1,departtamento
departure,5,5,departure
departure.(b)(6,1,1,departure.(b)(6
depatment,3,3,depatment
depend,5,4,depended | depending | depends
dependant,4,2,dependant | dependants
depende,1,1,depende
dependent,17,16,dependent | dependents
deperatment,1,1,deperatment
depict,4,4,depicted | depicts
depirt,1,1,depirted
deploy,3,3,deployed
deployment,3,3,deployment
depo,1,1,depo
depoist,2,1,depoist
deporatation,1,1,deporatation
deporation,3,3,deporation
deport,432,336,deport | deported | deporting | deports
deport.in,1,1,deport.in
deportacion,8,7,deportacion
deportado,5,5,deportado
deportaion,1,1,deportaion
deportarian,1,1,deportarian
